QUESTION,BONNES_REPONSES,MAUVAISES_REPONSES
Citez les 3 acteurs du harcèlement ?,"Victime, harceleur témoin",Victime harceleur facteur
,,"Le professeur, le conseiller principal d’écucation, la cantine"
Le professeur ne m’interroge jamais quand je lève la main.,C’est du harcèlement il ne m’aime pas,Il ne me voit pas je suis au fond de la classe
,,Il ne m’interroge pas car j’ai toujours les bonnes réponses
Plein d’élèves ont l’habitude de me toucher les fesses dans les escaliers,C’est interdit j’en parle à un adulte,Je fais comme si de rien n’était
,,C’est rien de grave
Quel numéro peut-on appeler si on est témoin ou victime de harcèlement scolaire ?,3018,3077
,112,911
Où se produit le harcèlement scolaire ?,C’est à l’école et sur les réseaux sociaux,C’est seulement à l’école
,,Que dans la cour
En classe je fais passer un mot d’insulte à la demande d’une copine,Je suis coupable,Je n’y suis pour rien
,,C’est pas ma faute
Ma copine est victime de harcèlement par un groupe d’élèves,Je le signale à un adulte,Ce n’est pas mon problème
,,Je m’en éloigne pour ne pas en être victime
,,Je me fais copine avec eux
"Si un camarade se fait embêter, c’est qu’il ne sait pas se défendre",Non ce n’est pas si simple,Oui c’est sûr
Tous les jours avant de rentrer au collège je suis obligé de retirer mes signes d’appartenance religieuse,"C’est normal, c’est la laïcité",C’est du harcèlement
,,C’est de la discrimination
"Ca fait trois fois que je me fais bousculer à la sortie de l’école, on me demande de l’argent maintenant",C’est interdit par la loi,Je ne dis rien et je continue à donner de l’argent quitte à voler mes parents
,,Je le signale
,,Je refuse de me laisser faire
Je me moque une fois sur les réseaux sociaux d’une publication d’un camarade de classe,C’est du cyber harcèlement,C’est pas grave c’est juste pour rire
,,Ce n’est pas du harcèlement
"Ma publication humiliante sur un camarade a fait 150 vues, je la supprime.",Mon camarade peut déposer plainte contre moi,C’est terminé on n’en parle plus
,,J’ai fait le buzz
J’ai été exclu à plusieurs reprises de l’établissement scolaire,L’école applique le règlement,C’est du harcèlement
,,Je n’aime pas l’école ça ne me pose pas de problème
J’ai un camarade qui a des difficultés à s’exprimer,Je l’aide et le met en confiance,Je me moque de lui et j’en rigole avec les autres
Un mot circule dans la classe pour s’en prendre à un élève à la récréation,Je préviens le professeur,Je fais passer ce mot pour être tranquille
,Je préviens la victime de ce qui va lui arriver,
Qu’est-ce qui montre qu’un élève est victime de harcèlement ?,L’élève ne participe plus en classe,L’élève obtient de meilleurs résultats scolaires
,L’élève ne vient plus au collège,
Je suis victime de cyberharcèlement par un autre élève,Mes parents demandent un rendez-vous avec le chef d’établissement,Mes parents règlent le problème directement avec les parents de l’autre élève devant l’établissement
,,Mes parents règlent le problème sur les réseaux sociaux
Tous les jours je suis poussé par le même élève avec qui je suis en club de sport et on s’en amuse,C’est du harcèlement,C’est notre relation
,,Ce sont des violences
Je ne peux pas m’asseoir à côté de mon meilleur copain en classe,C’est le professeur qui choisit,C’est du harcèlement
,,Je ne viens plus en classe
,,
"Je suis victime de harcèlement au collège, je me suis confié à un adulte du collège, rien ne se passe",J’en parle à mes parents,J’en parle à un autre adulte du collège
,,Je règle mes problèmes tout seul
,,Je me tais
"Je suis victime de harcèlement à l’école, je règle mes comptes ",Ni l’un ni l’autre,Sur les réseaux sociaux
,,Dans la cour de récréation
Je dénonce des faits de harcèlement,Je suis un témoin,Je suis une balance
,,Je suis une « poucave »
Le professeur m’a collé trois fois car je n’ai pas fait mes devoirs,C’est ma faute,C’est du harcèlement
,,C’est une injustice
Dans une discussion sur le « groupe » de la classe j’ai posté un like lorsque mon ami(e) a dénigré un autre élève,Je suis responsable car j’ai été d’accord avec mon ami(e) et je l’ai écrit et posté,Un like ça ne compte pas
,,J’ai juste fait ça parce que c’est un ami(e). Je n’ai rien à voir avec cette histoire
A l’école on me dit plein de fois que je suis bizarre parce que je porte un jupe en plein hiver,C’est du harcèlement,C’est juste une moquerie
,,C’est vrai